ID ,Station ,Region,Lat. (N),Long. (E) 
7,Macritchie Reservoir ,North,1.3417,103.8338
8,Lower Peirce Reservoir ,North,1.3701,103.8271
11,Choa Chu Kang (West) ,West,1.3746,103.6938
24,Changi,East,1.3678,103.9826
29,Pasir Ris (West) ,East,1.3863,103.9412
33,Jurong Pier ,West,1.3081,103.71
35,Ulu Pandan ,West,1.3329,103.7556
36,Serangoon ,North-East,1.3382,103.8657
40,Mandai ,North,1.4036,103.7898
43,Tai Seng ,Central,1.3399,103.8878
44,Jurong (West) ,West,1.3455,103.6806
46,Upper Thomson ,Central,1.3416,103.8106
50,Clementi ,West,1.3337,103.7768
55,Buangkok ,North-East,1.3837,103.886
60,Sentosa Island ,Central,1.25,103.8279
61,Chai Chee ,East,1.3277,103.9203
63,Boon Lay (West) ,West,1.3275,103.7042
64,Bukit Panjang ,West,1.3824,103.7603
66,Kranji Reservoir ,North,1.4387,103.7363
69,Upper Peirce Reservoir ,North,1.37,103.805
71,Kent Ridge ,Central,1.2923,103.7815
77,Queenstown ,Central,1.2937,103.8125
78,Tanjong Katong ,Central,1.307,103.8907
79,Somerset (Road) ,Central,1.3004,103.8372
81,Punggol ,North-East,1.4029,103.9092
82,Tuas West ,West,1.3247,103.6351
84,Simei ,East,1.3437,103.9444
88,Toa Payoh ,Central,1.3415,103.8519
89,Tuas ,West,1.3199,103.6616
90,Bukit Timah ,Central,1.3191,103.8191
91,Yishun ,North,1.4301,103.8308
92,Buona Vista ,Central,1.2841,103.7886
94,Pasir Ris (Central) ,East,1.3679,103.9489
101,Jurong (North) ,West,1.3505,103.7134
102,Semakau Island ,West,1.189,103.768
104,Admiralty ,North,1.4439,103.7854
106,Pulau Ubin ,East,1.4168,103.9673
107,East Coast Parkway ,East,1.3134,103.9619
108,Marina Barrage ,Central,1.2799,103.8703
109,Ang Mo Kio ,North-East,1.3764,103.8492
111,Newton ,Central,1.3106,103.8365
112,Lim Chu Kang ,North,1.4385,103.7013
113,Marine Parade ,Central,1.3065,103.9107
114,Choa Chu Kang (Central) ,West,1.3819,103.7386
115,Tuas South ,West,1.2938,103.6184
116,Pasir Panjang ,Central,1.281,103.754
117,Jurong Island ,West,1.2542,103.6741
118,Dhoby Ghaut ,Central,1.2994,103.8461
119,Nicoll Highway ,Central,1.3011,103.8666
120,Botanic Garden ,Central,1.3087,103.818
121,Choa Chu Kang (South) ,West,1.3729,103.7224
122,Khatib ,North,1.4173,103.8249
123,Whampoa ,Central,1.3214,103.8577
215, Geylang East Central, Central,1.32785,103.88899
900, Seletar Aerospace View, North-East,1.41284, 103.86922;;;;;;;;;
